company,meeting_date,meeting_type,motion_number,proposal,management_recommendation,hesta_vote,year,source
1300 Smiles Ltd,2021-11-12,Annual,1,REMUNERATION REPORT,N/A,For,2021,glasslewis_detail
1300 Smiles Ltd,2021-11-12,Annual,2,Re-elect Jason Smith,For,For,2021,glasslewis_detail
1300 Smiles Ltd,2021-11-12,Special,1,Scheme of Arrangement,For,For,2021,glasslewis_detail
1300 Smiles Ltd,2020-11-26,Annual,1,REMUNERATION REPORT,For,For,2020,glasslewis_detail
1300 Smiles Ltd,2020-11-26,Annual,2,Re-elect Robert Jones,For,For,2020,glasslewis_detail
1300 Smiles Ltd,2019-11-25,Annual,2,REMUNERATION REPORT,N/A,For,2019,glasslewis_detail
1300 Smiles Ltd,2019-11-25,Annual,3,Re-elect Jason Smith,For,For,2019,glasslewis_detail
1300 Smiles Ltd,2019-11-25,Annual,4,Renew Proportional Takeover Provisions,For,For,2019,glasslewis_detail
1300 Smiles Ltd,2018-11-22,Annual,1,REMUNERATION REPORT,For,For,2018,glasslewis_detail
1300 Smiles Ltd,2018-11-22,Annual,2,Elect Evonne Collier,For,For,2018,glasslewis_detail
1300 Smiles Ltd,2018-11-22,Annual,3,Elect Jason Smith,For,For,2018,glasslewis_detail
1300 Smiles Ltd,2018-11-22,Annual,4,Re-elect Robert Jones,For,For,2018,glasslewis_detail
1300 Smiles Ltd,2017-11-23,Annual,1,Re-elect Robert Jones,For,For,2017,glasslewis_detail
1300 Smiles Ltd,2017-11-23,Annual,2,REMUNERATION REPORT,N/A,For,2017,glasslewis_detail
1300 Smiles Ltd,2016-11-10,Annual,1,Re-elect Robert Jones,For,For,2016,glasslewis_detail
1300 Smiles Ltd,2016-11-10,Annual,2,REMUNERATION REPORT,For,For,2016,glasslewis_detail
1300 Smiles Ltd,2016-11-10,Annual,3,Adopt New Constitution,For,For,2016,glasslewis_detail
1300 Smiles Ltd,2016-11-10,Annual,4,Appointment of Auditor,For,For,2016,glasslewis_detail
360 Capital Group,2017-12-29,Ordinary,1,Approve Capital Reallocation,For,For,2017,glasslewis_detail
360 Capital Group,2017-12-29,Ordinary,2,Amendments to Constitution (Trust),For,For,2017,glasslewis_detail
360 Capital Group,2017-12-29,Ordinary,3,Amendments to Constitution (Company),For,For,2017,glasslewis_detail
360 Capital Group,2017-10-27,Annual,1,Remuneration Report,For,For,2017,glasslewis_detail
