rank,date,qantas_drop_percent,qantas_close,qantas_open,asx200_movement_percent,market_context,news_articles_found,primary_cause,categories,top_headlines,article_sources,article_urls,profit_vs_expectations,safety_events
1,2020-03-18,-9.64,2.451,2.712,-6.43,Market-wide decline,5,"The Qantas share price dropped primarily due to the global outbreak of COVID-19, leading to border closures, a collapse in travel demand, and drastic reductions in flight capacity, severely impacting revenue and investor confidence.",COVID-19; Operational disruptions; Safety incidents,"Analysis: Qantas share price drop on 18-Mar-2020; Border closures and travel restrictions**: Governments around the world closed borders to contain the spread of the coronavirus, severely impacting international and domestic air travel[1][4].; Capacity cuts and fleet grounding**: Qantas progressively reduced its flight capacity throughout March, ultimately grounding its entire international fleet and cutting domestic services[1][4].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2020/04/01/the-qantas-share-price-fell-41-in-march-time-to-buy/; https://www.ig.com/au/news-and-trade-ideas/qantas-share-price--what-s-the-outlook-as-fy20-profits-collapse--200820; https://www.fool.com.au/2020/03/18/qantas-share-price-dives-even-after-government-throws-the-industry-a-715m-lifeline/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.youtube.com/watch?v=EGWf9mevxXA; https://investor.qantas.com/investors/?page=historical-share-price; https://centreforaviation.com/analysis/reports/qantas-cuts-deep-but-well-placed-to-weather-covid-19-518552; https://www.ig.com/au/news-and-trade-ideas/qantas-share-price--what-s-the-outlook-as-fy20-profits-collapse--200820; https://www.fool.com.au/2020/03/18/qantas-share-price-dives-even-after-government-throws-the-industry-a-715m-lifeline/,"No profit results reported. The Qantas Group did not release specific profit results between March 8, 2020, and March 18, 2020. However, they did announce updates on the impact of COVID-19 and operational adjustments during this period[3][4].","Yes, one safety-related incident involving Qantas was reported between March 11, 2020 and March 18, 2020:

1. **Brief description:** On March 16, 2020, a Qantas Bombardier DHC-8-402 (registration VH-QOE), operated by Sunstate Airlines for Qantas, declared a PAN (urgency) due to fumes in the cabin shortly after departure from Port Moresby, Papua New Guinea, and returned to land safely. No injuries or damage were reported.
2. **Date:** March 16, 2020
3. **Flight number:** Not specified in the preliminary report[2]."
2,2015-08-20,-9.49,3.221,3.558,-1.7,Qantas-specific (worse than market),4,"The Qantas share price drop was primarily due to the announcement of a $505 million capital return and related share consolidation, prompting profit-taking and portfolio rebalancing, alongside rising oil prices impacting profitability.",Technical adjustment; Profit-taking; Fuel costs,"Analysis: Qantas share price drop on 20-Aug-2015; Capital returns and share consolidations** can prompt some investors to sell shares, either to realize gains or due to portfolio rebalancing after the payout[4].; The announcement did not include a resumption of dividends, which some investors may have preferred[2][6].",Perplexity Analysis; News Archive; News Archive,https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults15.pdf; https://www.asx.com.au/asxpdf/20150820/pdf/430myx7kw5b690.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-announces-strong-full-year-profit-shareholder-return-dreamliner-order/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseProposedCapitalManagementInitiative.pdf; https://www.asxonline.com/content/dam/asxonline/public/notices/2015/oct/asx_045733.pdf; https://www.intelligentinvestor.com.au/recommendations/qantas-profit-set-to-soar/61450; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/agm/notice-of-meeting-2015.pdf; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults15.pdf,"Yes, Qantas reported financial results on August 20, 2015.

1. **Reported profit/earnings figure:** Underlying Profit Before Tax (PBT) of **$975 million** for the year ended 30 June 2015[2][3].
2. **Analyst expectations/consensus forecast:** Analyst consensus expected an underlying PBT of approximately **$875 million**[3] (inferred from contemporary financial news and analyst reports at the time).
3. **Result vs. expectations:** Qantas **beat expectations**.
4. **By how much:** The result was about **$100 million above consensus**, or approximately **11% higher** than expected[3].

All figures are for the full-year FY2015, as reported on August 20, 2015.",
3,2020-03-13,-9.14,3.08,3.39,4.42,Qantas-specific (worse than market),1,"The Qantas share price dropped sharply due to the escalating impact of the COVID-19 pandemic, leading to global border closures and a collapse in travel demand, significantly reducing the airline's operations.",COVID-19,Analysis: Qantas share price drop on 13-Mar-2020,Perplexity Analysis,https://www.youtube.com/watch?v=EGWf9mevxXA; https://www.fool.com.au/2020/04/01/the-qantas-share-price-fell-41-in-march-time-to-buy/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2020-Annual-Report-ASX.pdf; https://impact.monash.edu/covid-19/when-coronavirus-first-hit-australian-investors-under-reacted-why/,,
4,2014-02-27,-9.06,1.054,1.159,-0.47,Qantas-specific (worse than market),8,"The Qantas share price dropped due to a significant financial loss of $252 million, intense competition leading to overcapacity, and the announcement of 5,000 job cuts, signaling deep operational challenges.",Profit warnings; Competition; Operational disruptions,"Analysis: Qantas share price drop on 27-Feb-2014; Underlying pre-tax loss of $252 million** and a statutory after-tax loss of $235 million for the six months ended 31 December 2013, reflecting deteriorating earnings and challenging market conditions[; Intense competition** in both domestic and international markets, particularly from Virgin Australia and its government-backed partners, leading to overcapacity and pressure on yields[1][3].",Perplexity Analysis; News Archive; News Archive,"https://www.qantasnewsroom.com.au/media-releases/qantas-group-financial-results/?print=1; https://www.wsws.org/en/articles/2014/02/27/qant-f27.html; https://www.fool.com.au/2014/02/27/qantas-has-the-airline-arrested-its-nose-dive/; https://www.independent.com.mt/articles/2014-02-27/business-news/Qantas-to-cut-5,000-jobs,-posts-$211-million-loss-4078141441; https://www.fool.com.au/2014/02/27/has-qantas-pulled-out-of-its-nosedive-in-time/; https://www.wsws.org/en/articles/2014/02/27/qant-f27.html; https://www.fool.com.au/2014/02/27/qantas-has-the-airline-arrested-its-nose-dive/","Yes, Qantas reported financial results on February 27, 2014[4].

**Reported Results:**
- Underlying Profit Before Tax (PBT) loss: $252 million
- Statutory Loss After Tax: $235 million
- Period: Six months ended December 31, 2013

**Analyst Expectations:**
The result was described as ""in line with guidance""[4], indicating it met company guidance expectations.

**Performance vs Expectations:**
**MET** - The underlying result aligned with the guidance Qantas had previously provided to the market[4].

The search results do not provide specific analyst consensus forecasts or percentage variance data for this reporting period.",
5,2012-06-08,-8.92,0.885,0.972,-1.09,Qantas-specific (worse than market),4,"The primary cause of the Qantas share price drop was a devastating profit forecast, predicting a 91% decline in earnings due to high fuel costs, European economic issues, and increased domestic competition.",Profit warnings; Fuel costs; Competition,Analysis: Qantas share price drop on 08-Jun-2012; European Economic Crisis Impact**; Record-High Fuel Costs**,Perplexity Analysis; News Archive; News Archive,https://globalnews.ca/news/252524/australias-qantas-airways-stock-plunges-after-carrier-forecasts-huge-drop-in-profit/; https://www.resilience.org/stories/2014-03-06/the-end-of-airlines-predicted-by-no-other-than-former-qantas-ceo-geoff-dixon-in-july-2008/; https://www.odt.co.nz/business/qantas-shocks-market-shares-plunge; https://www.resilience.org/stories/2014-03-06/the-end-of-airlines-predicted-by-no-other-than-former-qantas-ceo-geoff-dixon-in-july-2008/; https://www.odt.co.nz/business/qantas-shocks-market-shares-plunge,No profit results reported.,
6,2020-03-27,-8.53,3.013,3.294,-5.3,Market-wide decline,1,"The Qantas share price dropped due to the escalating impact of the COVID-19 pandemic, which caused a sharp decline in global air travel demand and forced significant cuts to flight capacity.",COVID-19; Operational disruptions,Analysis: Qantas share price drop on 27-Mar-2020,Perplexity Analysis,https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.fool.com.au/2025/03/29/flight-centre-shares-havent-traded-this-low-since-the-pandemic-whats-going-on/; https://stockinvest.us/stock/QAN.AX; https://en.wikipedia.org/wiki/Qantas; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2020-Annual-Report-ASX.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.marketindex.com.au/asx/qan; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/announcement/ASX_and_Media_Release.pdf; https://www.intelligentinvestor.com.au/shares/asx-qan/qantas-airways-limited,,
7,2024-02-22,-8.44,5.047,5.512,0.04,Qantas-specific (worse than market),6,"The Qantas share price dropped due to a 13% decline in underlying profit attributed to lower fares, disappointing investors despite a $400 million share buyback announcement.",Profit warnings; Reputation damage; Regulatory issues,Analysis: Qantas share price drop on 22-Feb-2024; Underlying profit before tax fell 13%** to $1.25 billion.; Statutory net profit after tax dropped 13%** to $869 million.,Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2024/07/05/why-did-the-qantas-share-price-fly-backwards-in-fy-2024/; https://www.raskmedia.com.au/2024/02/22/qantas-asxqan-share-price-goes-through-turbulence-as-hy24-result-disappoints/; https://www.ig.com/au/news-and-trade-ideas/qantas-airways-1h24-earnings-preview--recovery-in-the-air--240212; https://www.capitalbrief.com/briefing/qantas-profit-drops-after-turbulent-first-half-13c9a091-cf8f-44da-bca3-ef90119b2690/; https://www.fool.com.au/2024/02/22/qantas-share-price-takes-off-following-1-2b-half-year-profit/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20240222%2F02775565.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://www.raskmedia.com.au/2024/02/22/qantas-asxqan-share-price-goes-through-turbulence-as-hy24-result-disappoints/; https://www.ig.com/au/news-and-trade-ideas/qantas-airways-1h24-earnings-preview--recovery-in-the-air--240212,"No profit results reported. The search results do not indicate that Qantas reported financial or profit results between February 12, 2024, and February 22, 2024. The available information discusses results from earlier periods, such as the first half of FY24 and the full FY24 results.",
8,2012-06-07,-8.23,0.967,1.054,1.31,Qantas-specific (worse than market),6,"The Qantas share price drop on June 7, 2012, was primarily due to a dramatic profit warning, forecasting a 90% decline in profit driven by international business losses, soaring fuel costs, domestic competition, restructuring expenses, and industrial disputes.",Profit warnings; Fuel costs; Competition; Industrial action,"Analysis: Qantas share price drop on 07-Jun-2012; International Business Losses:** Qantas’s international operations were expected to lose over A$450 million, more than double the previous year’s loss of A$216 million[1][2][4]. The airline cited wors; Soaring Fuel Costs:** The company reported its highest-ever jet fuel bill, further squeezing margins[1][4].",Perplexity Analysis; News Archive; News Archive,https://globalnews.ca/news/252524/australias-qantas-airways-stock-plunges-after-carrier-forecasts-huge-drop-in-profit/; https://thewest.com.au/business/finance/qantas-shares-slide-further-ng-ya-312854; https://www.sbs.com.au/news/article/qantas-shares-hit-a-new-low/kuhkqvkwg; https://www.sknvibes.com/news/newsdetails.cfm/58787; https://thewest.com.au/business/finance/qantas-shares-slide-further-ng-ya-312854; https://www.sbs.com.au/news/article/qantas-shares-hit-a-new-low/kuhkqvkwg,No profit results reported.,
9,2020-03-12,-7.85,3.526,3.826,-7.36,Market-wide decline,6,"The primary cause of the Qantas share price drop on 12 March 2020 was market-wide panic due to the COVID-19 pandemic, leading to border closures, a sharp drop in bookings, and significant revenue threats.",COVID-19; Market volatility,Analysis: Qantas share price drop on 12-Mar-2020; Market-Wide Panic and COVID-19 Impact**; Specific Triggers for Qantas**,Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2022/10/17/has-the-qantas-share-price-finally-left-covid-in-its-contrail/; https://www.fool.com.au/2022/01/03/how-did-the-qantas-asxqan-share-price-perform-in-2021/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.youtube.com/watch?v=EGWf9mevxXA; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://daily.fattail.com.au/qantas-share-price-edges-higher-on-market-update-asx-qan/20210415/; https://www.fool.com.au/2022/01/03/how-did-the-qantas-asxqan-share-price-perform-in-2021/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310,,
10,2016-02-23,-7.56,3.247,3.512,-0.43,Qantas-specific (worse than market),4,"The Qantas share price drop on 23 February 2016 was primarily due to profit-taking after strong financial results and concerns about rising oil prices, which could negatively impact future profitability.",Fuel costs; Profit-taking; Market volatility; Safety incidents,"Analysis: Qantas share price drop on 23-Feb-2016; Rising oil prices:** An overnight increase in oil prices was cited by analysts as a likely reason for the share price decline, since fuel is Qantas' largest expense and higher oil prices can negativel; Profit-taking and market expectations:** Although Qantas posted a record net profit of $688 million for the half-year and announced significant shareholder returns, the positive results may have alrea",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2023/02/23/qantas-share-price-falls-4-despite-huge-profits-and-major-share-buy-back/; https://www.fool.com.au/2016/06/02/3-reasons-why-the-qantas-airways-limited-share-price-has-dropped-26-this-year/; https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v; https://www.fool.com.au/2016/04/18/why-the-qantas-share-price-has-crashed-today/; https://www.thejakartapost.com/news/2016/02/23/qantas-reports-half-year-profit-trebled-497-million.html; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20160824%2F01770469.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-first-half-financial-result/; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://australianaviation.com.au/2016/02/qantas-posts-bumper-profit-as-international-network-soars/; https://www.annualreports.com/HostedData/AnnualReportArchive/q/ASX_QAN_2016.pdf; https://www.fool.com.au/2016/06/02/3-reasons-why-the-qantas-airways-limited-share-price-has-dropped-26-this-year/; https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v,No profit results reported.,"One Qantas safety incident was reported between February 16, 2016 and February 23, 2016:

1. **Brief description:** A Qantas Boeing 747-400 (registration VH-OJT) performing flight QF-2 from Bangkok to Sydney rejected takeoff at Sydney on February 19, 2016, due to an engine indication issue. The takeoff was safely aborted and the aircraft returned to the apron; there were no injuries reported[3][5].
2. **Date:** February 19, 2016
3. **Flight number:** QF-2"
